Horodateur,Nom de la Structure,Thématique de travail,Adresse,Latitude,Longitude,Description de la structure,Contact,Site internet,Photos,Departement,Implication,Lien avec Traces,,
,Zangmo,Artistes,13 Impasse Ernest Bonnave 42000 SAint-Étienne  ,45.442307,4.384276799999999,,,https://ciezangmo.wordpress.com/,,Loire,,,,
,,Collectivités Territoriales,165 Rue Ampère 69140 Rillieux-la-Pape  ,45.8182954,4.8992755,,,,,Ain,,,,
,Textes en l'air,,Grande Cour 38160 38160 ,45.1579308,5.2989145,,,http://www.textesenlair.net/,,,,,,
,Scènes publiques,,  ,,,,,,,,,,,
,Collectif Traces de Vénissieux ,,  ,,,,,,,,,,,
,Collectif Solidarité Migrants,,  ,,,,,https://www.facebook.com/pg/migrants01/about/ ref=page_internal,,Vercors,,,,
,Singa,,  ,,,,,https://www.singafrance.com,,Rhône,,,,
,Cimade Bourg-en-Bresse,,  ,,,,,,,Rhône,,,,
,MRAP Aubenas,,  ,,,,,https://www.facebook.com/mrap.aubenas/,,Ain,,,,
,Arve-Réfugiés,,  ,,,,,https://arverefugies.wordpress.com/,,Ain,,,,
,Cimade Anonnay,,  ,,,,,,,Ain,,,,
,RESF,,  ,,,,,https://www.educationsansfrontieres.org/,,Ardèche,,,,
,Collectif citoyen 63,,  ,,,,,,,Ardèche,,,,
,RESF,,  ,,,,,,,Ardèche,,,,
,RESF,,  ,,,,,,,Auvergne,,,,
,RESF,,  ,,,,,,,Auvergne,,,,
,RESF / Grenat,,  ,,,,,,,Auvergne,,,,
,Cimade,,  ,,,,,,,Auvergne,,,,
,Cimade Drôme,,97 Rue Faventines 26000 26000 ,44.9276096,4.900437200000001,,,https://www.facebook.com/CimadeValence/,,Auvergne,,,,
,Romans International,,  ,,,,,,,Auvergne,,,,
,Abri'Toit 42,, 42600 ,,,,,,,Auvergne,,,,
,Collectif d'Accueil des Réfugiés en Trièves (CART),,  ,,,,,,,Drome,,,,
,RUSF / Réseau Universités Sans Frontières,, 38000 ,37.557808,-121.9944207,,,https://rusf.org/ debut_dessinaffiche=1,,Drome,,,Education /Educ pop,
,AGIRabcd (cours de FLE sur Montreynaud),,  ,,,,,http://www.agirabcd.eu/,,Isère,,,Education /Educ pop,
,Pour que personne ne dorme à la rue,,  ,,,,,,,Isère,,,,
,ANVITA,,  ,,,,,https://villes-territoires-accueillants.fr/,,Isère,,,,
,Accueil Migrants Réfugiés SAint Martin en Haut,,  ,,,,,/,,Loire,,,,
,COLAMIRE,,  ,,,,,,,Loire,,,,
,Collectif des étudiant-e-s étrangers de Lyon  sans papiers et solidaires,,  ,,,,,https://www.facebook.com/Collectif-des-%C3%A9tudiant-e-s-%C3%A9trangers-de-Lyon-sans-papiers-et-solidaires-161228107544728/,,National,,,,
,Savoie Solidarité migrants,,  ,,,,,,,Rhône,,,,
,Collectif Migrant'scène Chambéry,,  ,,,,,,,Rhône,,,,
,ADOMA,,  ,,,,,,,Rhône,,,,
,Toit et Noix,,  ,,,,,,,Savoie,,,,
,Collectif reconnaissance,,  ,,,,,,,Savoie,,,,
